# Référentiel — nomenclature des catégories d'établissements FINESS
# (domaine "categorie_etablissement", champ etablissement.code_categorie /
# entite_juridique.code_categorie du pivot ; source JSON FINESS :
# categorieentiteGeographiqueExercice).
#
# Source : DREES/DMSI, documentation FINESS.
#   Dataset data.gouv.fr « FINESS - Extraction des principales nomenclatures »
#   (producteur : Ministère chargé de la Santé) :
#   https://www.data.gouv.fr/datasets/finess-extraction-des-principales-nomenclatures/
#   Ressources utilisées :
#     - « Catégories ouvertes - Caractéristiques » (situation au 01-06-2021)
#       https://static.data.gouv.fr/resources/finess-extraction-des-principales-nomenclatures/20210625-130441/categories-ouvertes-caracteristiques.pdf
#     - « Catégories fermées » (situation au 08-06-2021)
#       https://static.data.gouv.fr/resources/finess-extraction-des-principales-nomenclatures/20210625-130947/categories-fermees.pdf
# Date d'extraction dans ce dépôt : 2026-08-18.
#
# Couverture : 274 codes (151 catégories ouvertes + 123 catégories fermées),
# sur les 300 valeurs distinctes de code_categorie observées dans un extrait
# réel FINESS-Structures (millésime 202607 ; cf.
# artefacts/01_INVENTAIRE_CODES_202607.csv, domaine categorie_etablissement).
# Les 40 codes non couverts (ex. la série 60x-65x apparue après 2021) ne sont
# pas devinés : ils restent absents du référentiel et sont donc signalés
# explicitement par nomenclatures.resoudre_categorie, jamais approximés.
# Le code 259 est volontairement omis : son libellé est tronqué en plein mot
# dans le document source ("...Pension de Fami"), à la différence des autres
# libellés de 60 caractères qui se terminent tous sur une frontière de mot ;
# faute de pouvoir vérifier la fin exacte, il n'est pas complété par hypothèse.
#
# Colonnes :
#   code            code catégorie FINESS, tel qu'émis par la source (aucun
#                   remplissage de zéros, aucune transformation).
#   libelle         libellé long officiel de la catégorie.
#   statut          "ouverte" si la catégorie est utilisable pour une nouvelle
#                   création à la date de la source, "fermee" sinon. Une
#                   catégorie fermée peut néanmoins subsister sur des
#                   établissements existants non encore requalifiés.
#   date_fermeture  date de fermeture de la catégorie (AAAA-MM-JJ), renseignée
#                   uniquement pour les catégories fermées.
code;libelle;statut;date_fermeture
311;Ecole de cadres de masseurs-kinésithérapeutes;fermee;2005-11-14
312;Ecole de cadres de manipulateurs d'électro-radiologie;fermee;2005-11-14
313;Ecole d'éducateurs de jeunes enfants;fermee;2005-11-14
314;Ecole d'éducateurs techniques spécialisés;fermee;2005-11-14
315;Ecole de moniteurs-éducateurs;fermee;2005-11-14
316;Ecole d'aides médico-psychologiques;fermee;2005-11-14
317;Ecole d'animateurs socio-éducatifs;fermee;2005-11-14
319;Inst. régional de formation des travailleurs sociaux;fermee;2005-11-14
320;S.A.M.U. et Centre 15;fermee;1999-09-15
321;Unité Mobile Hospitalière;fermee;1999-09-15
322;Centre Rég.Informatiq.Hospit.;fermee;1999-09-15
326;Ecole de cadres;fermee;2005-11-14
327;Service d'Ambulances;fermee;2019-04-22
328;Centre Consultation Soins Dentaire;fermee;1994-09-19
329;Sectorisation Psychiatrique;fermee;1994-09-19
330;Ecoles Formant aux Professions Sociales;ouverte;
340;Service mandataire judiciaire à la protection des majeurs;ouverte;
341;Service dédié mesures d'accompagnement social personnalisé;ouverte;
342;Service d'information et de soutien aux tuteurs familiaux;ouverte;
343;Equipe Préparation et Suite Reclassement (EPSR);fermee;2005-06-09
344;Service délégué aux prestations familiales;ouverte;
346;Service de Travailleuses Familiales;fermee;2018-03-07
347;Centre d'Examens de Santé;ouverte;
349;Ecole de cadres de sages-femmes;fermee;2005-11-14
350;Centre de formation d'auxiliaires de puériculture;fermee;2005-11-14
352;Centre de Psychothérapie;fermee;1994-09-19
353;Hôpital de Jour Spécialités Médicales;fermee;1994-09-19
354;Service de Soins Infirmiers A Domicile (S.S.I.A.D);ouverte;
355;Centre Hospitalier (C.H.);ouverte;
357;Association Aide aux Insuffisants Respiratoires;fermee;1999-09-15
361;Centre de Cure Médicale;fermee;1999-09-15
362;Etablissement de Soins Longue Durée;ouverte;
363;Centre moyen et long séjour;fermee;1999-09-15
365;Etablissement de Soins Pluridisciplinaire;ouverte;
366;Atelier Thérapeutique;ouverte;
367;Maison d'Enfants non Conventionnée ni Habilitée;fermee;2014-03-31
368;Service de Repas à Domicile;fermee;2018-03-07
369;Centre Adaptation Vie Active (C.A.V.A.);fermee;2001-07-31
370;Etablissement Expérimental pour personnes handicapées;ouverte;
371;Service Action Socio-Educative pour Familles en difficulté;fermee;2001-07-31
373;Centre de formation supérieure des travailleurs sociaux;fermee;2005-11-14
374;Ecole des Hautes Etudes en Santé Publique (E.H.E.S.P.);ouverte;
375;Classe d'Adaptation;fermee;1994-09-19
376;Classe Spéciale Ecole Primaire;fermee;2005-06-09
377;Etablissement Expérimental pour Enfance Handicapée;ouverte;
378;Etablissement Expérimental Enfance Protégée;ouverte;
379;Etablissement Expérimental pour Adultes Handicapés;ouverte;
380;Etablissement Expérimental Autres Adultes;ouverte;
381;Etablissement Expérimental pour Personnes Agées;ouverte;
382;Foyer de Vie pour Adultes Handicapés;ouverte;
386;Ecole Secondaire Spéciale;fermee;1994-09-19
390;Etablissement d'Accueil Temporaire d'Enfants Handicapés;ouverte;
393;Autre résidence But lucratif pr personnes Âgées;fermee;1994-09-19
394;Etablissement d'Accueil Temporaire pour Personnes Agées;fermee;2015-01-01
395;Etablissement d'Accueil Temporaire pour Adultes Handicapés;ouverte;
396;Foyer Hébergement Enfants et Adolescents Handicapés;ouverte;
397;Service Auxiliaire de Vie pour Handicapés;fermee;2005-07-06
398;Crèche Parentale;fermee;2014-03-31
399;Halte Garderie Parentale;fermee;2014-03-31
401;D.R.A.S.S.;fermee;1999-09-15
402;Jardin d'Enfants Spécialisé;ouverte;
404;Etablissement Acc.Collect.Parental Régulier & Occasionnel;fermee;2014-03-31
411;Intermédiaire de Placement Social;ouverte;
412;Appartement Thérapeutique;ouverte;
413;C.E.C.O.S;fermee;1999-09-15
414;Centre Anti Poison;fermee;1999-09-15
415;Service Médico-Psychologique Régional (S.M.P.R.);ouverte;
418;Service d'Enquêtes Sociales (S.E.S.);ouverte;
419;Centre d'Accueil Toxicomanes;fermee;1999-09-15
420;Entreprise d'Insertion;fermee;2001-07-31
421;Centre d'enseignement aux secours d'urgence;fermee;2005-11-14
422;Traitements Spécialisés à Domicile;ouverte;
423;Ecole des cadres de laborantins d'analyses médicales;fermee;2005-11-14
425;Centre d'Accueil Thérapeutique à temps partiel (C.A.T.T.P.);ouverte;
426;Syndicat Inter Hospitalier (S.I.H.);ouverte;
427;Service Educatif Auprès des Tribunaux (S.E.A.T.);ouverte;
430;Centre Postcure Malades Mentaux;ouverte;
431;Centre Postcure pour Alcooliques;fermee;2013-06-25
432;Centre Postcure pour Toxicomanes;fermee;1999-09-15
433;Etablissement Sanitaire des Prisons;ouverte;
434;Classe Spéciale en Ecole Maternelle;fermee;2005-06-09
435;Centre de formation d'aide à domicile;fermee;2005-11-14
436;Ecoles Formant aux Professions Sanitaires et Sociales;ouverte;
